registry_id,fac_src,Stone_Unique_ID_revised,geo_id_revised,stat_land_comb,uncertainty_class,registry_stone_id,note
110046120808,facilities_20220311.csv,278286,0402650010042,F1,2,110046120808,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110046248208,facilities_20220311.csv,115815,0642220000050,F1,2,110046248208,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110054317422,facilities_20220311.csv,654950,0451870000014,F2,1,110054317422,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110056494217,facilities_20220311.csv,290486,0410020040107,F2,1,110056494217,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110058289784,facilities_20220311.csv,240392,1167500010001,F2,1,110058289784,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110060261041,facilities_20220311.csv,612339,0100190000017,F1,2,110060261041,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110063890847,facilities_20220311.csv,240240,0402180010172,F2,1,110063890847,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110063890847,facilities_20220311.csv,311132,0402180010163,F2,1,110063890847,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110063953164,facilities_20220311.csv,1959645, , ,3,110063953164,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110063955420,facilities_20220311.csv,78624,1005150000729,F2,1,110063955420,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110063955420,facilities_20220311.csv,79677,1005150000996,F2,1,110063955420,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110063955420,facilities_20220311.csv,93262,1005150000372,F2,1,110063955420,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110063955420,facilities_20220311.csv,108697,1005150000592,F2,1,110063955420,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064000502,facilities_20220311.csv,1288495,0260470000125,F1,2,110064000502,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110064000502,facilities_20220311.csv,1299981,0260470000106,X1,3,110064000502,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110064013099,facilities_20220311.csv,1710660,0190-0044-0000-000, ,3,110064013099,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110064068093,facilities_20220311.csv,507876,0450530000060,F2,1,110064068093,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064068093,facilities_20220311.csv,518426,0450530000009,F2,1,110064068093,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064118761,facilities_20220311.csv,322274,0231260000020,F2,1,110064118761,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064203115,facilities_20220311.csv,514019,0470680000005,F2,1,110064203115,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064203115,facilities_20220311.csv,535471,0470680000045,F2,1,110064203115,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110064303828,facilities_20220311.csv,1894363,03700001200,F2,1,110064303828,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110067035746,facilities_20220311.csv,1156034,0440820000683,F1,2,110067035746,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110067035791,facilities_20220311.csv,2089044,0547-00-03800,F1,2,110067035791,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110067035791,facilities_20220311.csv,2089045,0547-00-03800,F1,2,110067035791,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110067350477,facilities_20220311.csv,1790993,8882-00-00100,F1,2,110067350477,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110067353170,facilities_20220311.csv,2256808,3150-00-000-0006-907,XV,3,110067353170,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110069463155,facilities_20220311.csv,1199232,1404950010009,O1,3,110069463155,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110069639680,facilities_20220311.csv,78273,1251020010009,F1,2,110069639680,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110070058563,facilities_20220311.csv,1199232,1404950010009,O1,3,110070058563,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110070059174,facilities_20220311.csv,92536,1005740000067,F2,1,110070059174,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110070059174,facilities_20220311.csv,92734,1005740000106,F2,1,110070059174,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110070059174,facilities_20220311.csv,107595,1005740000076,F2,1,110070059174,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
