model_info,source_sub,receptor_sub,avg_solpst_in,avg_sorpst_in,count
chemtest_0508_koc50_149,149,322,163.38301323581663,69.850022871355236,1461
chemtest_0508_koc50_167,167,167,2269678.0014373707,2276.927142182752,1461
chemtest_0508_koc50_167,167,184,628559.09118097287,205158.80450493997,1461
chemtest_0508_koc50_167,167,185,134472.97010054719,149672.72757427066,1461
chemtest_0508_koc50_167,167,188,1333.2085271971309,410.07200816688595,1461
chemtest_0508_koc50_167,167,192,1731.3702189937544,615.63216513417456,1461
chemtest_0508_koc50_167,167,194,89469.6847383709,61223.168200516768,1461
chemtest_0508_koc50_167,167,201,66549.23463158794,26788.814795422928,1461
chemtest_0508_koc50_167,167,206,38304.1585018344,22139.0445094798,1461
chemtest_0508_koc50_167,167,215,829.75548933212031,397.8514653088294,1461
chemtest_0508_koc50_167,167,216,2343.8177501674113,957.89690150697572,1461
chemtest_0508_koc50_167,167,217,6857.4254879315,2841.977114896441,1461
chemtest_0508_koc50_167,167,219,5162.7830214427813,2036.8038332603023,1461
chemtest_0508_koc50_167,167,220,3280.9570978728411,1538.0980773687918,1461
chemtest_0508_koc50_167,167,225,578.0491358086324,275.4855662457332,1461
chemtest_0508_koc50_167,167,227,9019.1627457604445,3922.6256220075352,1461
chemtest_0508_koc50_167,167,228,27030.559142815884,13968.567086872003,1461
chemtest_0508_koc50_167,167,234,15900.56947513279,10054.430597384679,1461
chemtest_0508_koc50_167,167,235,12668.174993447634,5567.0626041642709,1461
chemtest_0508_koc50_167,167,236,411.52739449454373,188.5201272025916,1461
chemtest_0508_koc50_167,167,239,296.83937451914016,130.413360772334,1461
chemtest_0508_koc50_167,167,252,210.2544920072657,91.0990498007928,1461
chemtest_0508_koc50_167,167,282,150.39773177650449,62.972459089652318,1461
chemtest_0508_koc50_167,167,322,105.20849159636178,43.686703549702905,1461
