geoid,fordq_rate
48373210500,0.11
48407200101,0.141
48407200102,0.115
48407200200,0.079
48407200300,0.09
48457950200,0.109
48457950400,0.114
48457950500,0.094
48471790200,0.088
48471790300,0.073
48471790400,0.11
48471790500,0.068
48471790600,0.139
48471790700,0.065
48471790800,0.065
48473680100,0.098
48473680200,0.177
48473680300,0.144
48473680400,0.231
48473680500,0.154
48473680600,0.141
48481740500,0.098
48481740600,0.115
