registry_stone_id,uncertainty_class,grid_id,grid_area_pct
77881,5,2437697,1
77881,5,2439827,1
77881,5,2439828,1
77881,5,2439829,1
77881,5,2441959,1
77881,5,2441960,1
77881,5,2441961,1
77881,5,2444091,1
77881,5,2444092,1
77881,5,2444093,1
77881,5,2446223,1
77881,5,2446224,1
77881,5,2448355,1
77881,5,2448356,1
77881,5,2450487,1
77881,5,2450488,1
77881,5,2452619,1
77881,5,2452620,1
77881,5,2452621,1
77881,5,2452622,1
77881,5,2461147,1
78501,5,1994177,1
78501,5,1994178,1
78501,5,1996309,1
78501,5,1996310,1
78501,5,1996311,1
78501,5,1996312,1
78501,5,1998441,1
78501,5,1998442,1
78501,5,1998443,1
78501,5,1998444,1
78501,5,2000573,1
78501,5,2000574,1
78501,5,2000575,1
78501,5,2000576,1
78501,5,2002705,1
78501,5,2002706,1
78501,5,2002707,1
78501,5,2002708,1
78897,5,2497489,1
78897,5,2497490,1
78897,5,2499622,1
78897,5,2499623,1
78897,5,2501756,1
78897,5,2501757,1
78999,5,2418558,1
79517,5,2467703,1
79517,5,2467704,1
79517,5,2469834,1
79870,5,2476158,1
79870,5,2476159,1
79870,5,2476160,1
79870,5,2478290,1
79870,5,2478291,1
79870,5,2478292,1
79913,5,2062490,1
79913,5,2062491,1
79913,5,2064622,1
80610,5,2431299,1
80610,5,2433431,1
80610,5,2433432,1
80610,5,2433433,1
80610,5,2435563,1
80610,5,2435564,1
80610,5,2435565,1
80610,5,2437695,1
80610,5,2437696,1
80610,5,2437697,1
80610,5,2439827,1
80610,5,2439828,1
80610,5,2439829,1
80610,5,2441959,1
80610,5,2441960,1
80610,5,2441961,1
80610,5,2444091,1
80610,5,2444092,1
80610,5,2444093,1
80610,5,2446223,1
80610,5,2446224,1
80610,5,2448355,1
80610,5,2448356,1
80610,5,2450487,1
80610,5,2450488,1
80610,5,2452619,1
80610,5,2452620,1
80610,5,2452621,1
80610,5,2452622,1
80610,5,2461147,1
80631,5,2478296,1
80631,5,2478297,1
80631,5,2480428,1
80963,5,2627536,1
80963,5,2629668,1
80963,5,2631800,1
80963,5,2633932,1
80963,5,2636062,1
80963,5,2636063,1
80963,5,2636064,1
80963,5,2638194,1
80963,5,2638195,1
81506,5,2642447,1
81506,5,2644579,1
81506,5,2646711,1
81630,5,2476158,1
81630,5,2476159,1
81630,5,2476160,1
81630,5,2478290,1
81630,5,2478291,1
81630,5,2478292,1
81630,5,2480424,1
81630,5,2482556,1
82080,5,2636037,1
82296,5,2333248,1
82296,5,2333249,1
82296,5,2335380,1
83215,5,2418558,1
83340,5,2077433,1
83340,5,2077434,1
83340,5,2077435,1
83340,5,2077436,1
83340,5,2079564,1
83340,5,2079565,1
83340,5,2079566,1
83340,5,2079567,1
83340,5,2081699,1
83386,5,2137118,1
83386,5,2137119,1
83386,5,2137120,1
83386,5,2137121,1
83386,5,2137122,1
83386,5,2137123,1
83386,5,2137124,1
83386,5,2137125,1
83386,5,2137126,1
83386,5,2139245,1
83386,5,2139246,1
83386,5,2139247,1
83786,5,2499604,1
83786,5,2499605,1
84684,5,1994177,1
84684,5,1994178,1
84684,5,1996309,1
84684,5,1996310,1
84684,5,1996311,1
84684,5,1996312,1
84684,5,1998441,1
84684,5,1998442,1
84684,5,1998443,1
84684,5,1998444,1
84684,5,2000573,1
84684,5,2000574,1
84684,5,2000575,1
84684,5,2000576,1
84684,5,2002705,1
84684,5,2002706,1
84684,5,2002707,1
84684,5,2002708,1
85358,5,2552955,1
85358,5,2555087,1
85407,5,2096604,1
85687,5,2346027,1
85892,5,2403605,1
86111,5,2427053,1
86111,5,2427054,1
86111,5,2429183,1
86111,5,2429184,1
86111,5,2429185,1
86111,5,2431314,1
86111,5,2431315,1
86111,5,2433446,1
86111,5,2435586,1
86111,5,2437718,1
86111,5,2446246,1
86111,5,2456898,1
86111,5,2456899,1
86111,5,2456900,1
86111,5,2456901,1
86111,5,2456902,1
86111,5,2456903,1
86111,5,2459029,1
86111,5,2459030,1
86111,5,2459031,1
86111,5,2459032,1
86111,5,2459033,1
86111,5,2459034,1
86111,5,2459035,1
86111,5,2461161,1
86111,5,2461162,1
86111,5,2461163,1
86111,5,2463293,1
86111,5,2463294,1
86111,5,2463295,1
86111,5,2465425,1
86111,5,2465426,1
86111,5,2465427,1
86111,5,2467557,1
86111,5,2467558,1
86111,5,2467559,1
86111,5,2469692,1
86111,5,2469693,1
86111,5,2471824,1
86111,5,2471825,1
86648,5,2418539,1
86648,5,2420671,1
86648,5,2420672,1
86648,5,2422803,1
86648,5,2422804,1
86713,5,2642454,1
86713,5,2644582,1
86713,5,2644583,1
88643,5,2360988,1
89334,5,2365253,1
89657,5,2427053,1
89657,5,2427054,1
89657,5,2429183,1
89657,5,2429184,1
89657,5,2429185,1
89657,5,2431314,1
89657,5,2431315,1
89657,5,2433446,1
89657,5,2435586,1
89657,5,2437718,1
89657,5,2446246,1
89657,5,2456898,1
89657,5,2456899,1
89657,5,2456900,1
89657,5,2456901,1
89657,5,2456902,1
89657,5,2456903,1
89657,5,2459029,1
89657,5,2459030,1
89657,5,2459031,1
89657,5,2459032,1
89657,5,2459033,1
89657,5,2459034,1
89657,5,2459035,1
89657,5,2461161,1
89657,5,2461162,1
89657,5,2461163,1
89657,5,2463293,1
89657,5,2463294,1
89657,5,2463295,1
89657,5,2465425,1
89657,5,2465426,1
89657,5,2465427,1
89657,5,2467557,1
89657,5,2467558,1
89657,5,2467559,1
