registry_stone_id,grid_id,uncertainty_class
71695,2452661,5
71695,2452662,5
71695,2452663,5
71695,2454791,5
71695,2454792,5
71695,2454793,5
71695,2454794,5
71695,2454795,5
71814,2352465,5
71814,2354597,5
71814,2356729,5
71959,2486746,5
71959,2486747,5
71959,2486748,5
72149,2668057,5
72149,2668058,5
72149,2670188,5
72149,2670189,5
72149,2670190,5
72294,2476127,5
72294,2476128,5
72294,2476129,5
72294,2476130,5
72294,2476131,5
72294,2478259,5
72294,2478260,5
72349,2450542,5
72349,2450543,5
72349,2450544,5
72349,2452674,5
72349,2452675,5
72349,2452676,5
72349,2452677,5
72349,2452678,5
72349,2454806,5
72349,2454807,5
72349,2454808,5
72349,2454809,5
72349,2454810,5
72349,2456938,5
72349,2456939,5
72349,2456940,5
72349,2456941,5
72349,2456942,5
72349,2459073,5
72442,2062488,5
72442,2062489,5
72442,2064618,5
72442,2064619,5
72442,2064620,5
72442,2064621,5
72442,2066750,5
72442,2066751,5
72442,2066752,5
72442,2066753,5
72509,2655193,5
72509,2655194,5
72509,2655195,5
72509,2655196,5
72509,2655197,5
72509,2655198,5
72509,2655199,5
72509,2655200,5
72509,2657324,5
72509,2657325,5
72509,2657326,5
72509,2657327,5
72509,2657328,5
72509,2657329,5
72509,2657330,5
72509,2657331,5
72509,2657332,5
72509,2659456,5
72509,2659457,5
72509,2659458,5
72509,2659459,5
72509,2659460,5
72509,2659461,5
72509,2659462,5
72509,2659463,5
72509,2659464,5
72509,2661587,5
72509,2661588,5
72509,2661589,5
72509,2661590,5
72509,2661591,5
72509,2661592,5
72509,2661593,5
72509,2661594,5
72509,2661595,5
72509,2661596,5
72509,2663719,5
72509,2663720,5
72509,2663721,5
72509,2663722,5
72509,2663723,5
72509,2663724,5
72509,2663725,5
72509,2663726,5
72509,2663727,5
72509,2663728,5
72509,2665850,5
72509,2665851,5
72509,2665852,5
72509,2665853,5
72509,2665854,5
72509,2665855,5
72509,2665856,5
72509,2665857,5
72509,2665858,5
72509,2665859,5
72509,2665860,5
72509,2667982,5
72509,2667983,5
72509,2667984,5
72509,2667985,5
72509,2667986,5
72509,2667987,5
72509,2667988,5
72509,2667989,5
72509,2667990,5
72509,2667991,5
72509,2667992,5
72509,2667993,5
72509,2667994,5
72509,2667995,5
72509,2667996,5
72509,2670114,5
72509,2670115,5
72509,2670116,5
72509,2670117,5
72509,2670118,5
72509,2670119,5
72509,2670120,5
72509,2670121,5
72509,2670122,5
72509,2670123,5
72509,2670124,5
72509,2670125,5
72509,2670126,5
72509,2670127,5
72509,2670128,5
72509,2670129,5
72548,2685118,5
72548,2685119,5
72548,2687250,5
72548,2687251,5
72548,2689383,5
72548,2691515,5
72548,2691516,5
72548,2693647,5
72548,2693648,5
72548,2695779,5
72548,2695780,5
72804,2424926,5
72804,2424927,5
72804,2427059,5
72804,2429186,5
72804,2431317,5
72804,2431318,5
72804,2431319,5
72804,2431320,5
72804,2431321,5
72804,2433449,5
72804,2433450,5
72804,2433451,5
72804,2433452,5
72804,2433453,5
72804,2435577,5
72804,2435578,5
72804,2435580,5
72804,2435581,5
72804,2435582,5
72804,2435583,5
72804,2435584,5
72804,2435585,5
72804,2437707,5
72804,2437708,5
72804,2437709,5
72804,2437710,5
72804,2437711,5
72804,2437712,5
72804,2437713,5
72804,2437714,5
72804,2437715,5
72804,2437716,5
72804,2437717,5
72804,2439839,5
72804,2439840,5
72804,2439842,5
72804,2439843,5
72804,2439845,5
72804,2439846,5
72804,2439847,5
72804,2439848,5
72804,2439849,5
72804,2439850,5
72804,2439851,5
72804,2441971,5
72804,2441972,5
72804,2441973,5
72804,2441974,5
72804,2441975,5
72804,2441977,5
72804,2441978,5
72804,2441979,5
72804,2441980,5
72804,2441981,5
72804,2441982,5
72804,2441983,5
72804,2444103,5
72804,2444104,5
72804,2444105,5
72804,2444106,5
72804,2444107,5
72804,2444109,5
72804,2444110,5
72804,2444111,5
72804,2444112,5
72804,2444113,5
72804,2444114,5
72804,2444115,5
72804,2444116,5
72804,2446235,5
72804,2446236,5
72804,2446237,5
72804,2446238,5
72804,2446239,5
72804,2446240,5
72804,2446241,5
72804,2446242,5
72804,2446243,5
72804,2446244,5
72804,2446245,5
72804,2448367,5
72804,2448368,5
72804,2448369,5
72804,2448370,5
72804,2448371,5
72804,2448372,5
72804,2448373,5
72804,2448374,5
72804,2448375,5
72804,2448376,5
72804,2448377,5
72804,2448378,5
72804,2448379,5
72804,2448380,5
72804,2450499,5
72804,2450500,5
72804,2450501,5
72804,2450502,5
72804,2450503,5
72804,2450504,5
72804,2450505,5
72804,2450506,5
72804,2450507,5
72804,2450508,5
72804,2450509,5
72804,2450510,5
72804,2450511,5
72804,2450512,5
72804,2452631,5
72804,2452632,5
72804,2452633,5
72804,2452634,5
72804,2452635,5
72804,2452636,5
72804,2452637,5
72804,2452638,5
72804,2452639,5
72804,2452640,5
72804,2452641,5
72804,2452642,5
72804,2452643,5
72804,2452644,5
72868,2474033,5
72868,2476163,5
72868,2476164,5
72868,2476165,5
72868,2476166,5
72868,2478294,5
72868,2478295,5
72868,2478296,5
72868,2478297,5
72868,2478298,5
