cell_id,value
2301243,1.07904052734375
2301244,1.1022157669067383
2301245,1.134878158569336
2301246,0.8381519317626953
2301247,0
2301248,0
2301249,0
2301250,0
2301251,0
2301252,0
2301253,0
2301254,0
2301255,0
2301256,0
2301257,0
2301258,0
2301259,0
2301260,0
2301261,0
2301262,0
2301263,0
2301264,0
2301265,0
2301266,0
2301267,0
2301268,0
2301269,0
2301270,0
2301271,0
2301272,0
2301273,0
2301274,0
2301275,0
2301276,0
2301277,0
2301278,0
2301279,0
2301280,0
2301281,0
2301282,0
2301283,0
2301284,0
2301285,0
2301286,0
2301287,0
2301288,0
2301289,0
2301290,0
2301291,0
2301292,0
2301293,0
2301294,0
2301295,0
2303311,0
2303312,0
2303313,0
2303314,0
2303315,0
2303316,0
2303317,0
2303318,0
2303319,0
2303320,0
2303321,0
2303322,0
2303323,0
2303324,0
2303325,0
2303326,0
2303327,0
2303328,0
2303329,0
2303330,0
2303331,0
2303332,0
2303333,0
2303334,0
2303335,0
2303336,0
2303337,0
2303338,0
2303339,0
2303340,0
2303341,0
2303342,0
2303343,0
2303344,0
2303345,0
2303346,0
2303347,0.2673830986022949
2303348,0.32738304138183594
2303349,0.32738304138183594
2303350,0
2303351,0
2303352,0
2303353,0
2303354,0
2303355,0
2303356,0
2303357,0
2303358,0
2303359,0
2303360,0
2303361,0
2303362,0
2303363,0
2303364,0
2303365,0
2303366,0
2303367,0
2303368,0
2303369,0
2303370,0
2303371,0
2303372,0
2303373,1.0112638473510742
2303374,1.0363197326660156
2303375,1.0603570938110352
2303376,1.083521842956543
2303377,1.1086044311523437
2303378,0.8126058578491211
2303379,0
2303380,0
2303381,0
2303382,0
2303383,0
2303384,0
2303385,0
2303386,0
2303387,0
2303388,0
2303389,0
2303390,0
2303391,0
2303392,0
2303393,0
2303394,0
2303395,0
2303396,0
2303397,0
2303398,0
2303399,0
2303400,0
2303401,0
2303402,0
2303403,0
2303404,0
2303405,0
2303406,0
2303407,0
2303408,0
2303409,0
2303410,0
2303411,0
2303412,0
2303413,0
2303414,0
2303415,0
2303416,0
2303417,0
2303418,0
2303419,0
2303420,0
2303421,0
2303422,0
2303423,0
2303424,0
2303425,0
2303426,0
2305444,0
2305445,0
2305446,0
2305447,0
2305448,0
2305449,0
2305450,0
2305451,0
2305452,0
2305453,0
2305454,0
2305455,0
2305456,0
2305457,0
2305458,0
2305459,0
2305460,0
2305461,0
2305462,0
2305463,0
2305464,0
2305465,0
2305466,0
2305467,0
2305468,0
2305469,0
2305470,0
2305471,0
2305472,0
2305473,0
2305474,0
2305475,0
2305476,0
2305477,0
2305478,0
2305479,0.3045830726623535
2305480,0.32738304138183594
2305481,0.32738304138183594
2305482,0
2305483,0
2305484,0
2305485,0
2305486,0
2305487,0
2305488,0
2305489,0
2305490,0
2305491,0
2305492,0
2305493,0
2305494,0
2305495,0
2305496,0
2305497,0
2305498,0
2305499,0
2305500,0
2305501,0
2305502,0
2305503,0
2305504,0
2305505,0.9660329818725586
2305506,1.018117904663086
2305507,1.0425748825073242
2305508,1.066391944885254
2305509,1.0905771255493164
2305510,0.7872600555419922
2305511,0
2305512,0
2305513,0
2305514,0
2305515,0
2305516,0
2305517,0
2305518,0
2305519,0
2305520,0
2305521,0
2305522,0
