registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class
110000463524,F2,0591420010037,178757,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000026,82349,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000027,75188,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000043,116180,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000097,72572,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000098,107084,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0401740000100,79722,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0642230000001,88891,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0642230000112,113752,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0642230000123,85568,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,0642230000172,73243,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463542,F2,9700000000200,124907,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463597,F2,0410020050035,86621,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463597,F2,0410020050125,71881,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463613,F2,1005150000080,78784,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463613,F2,1005150000558,118333,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463613,F2,9700000000211,84189,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,0642230000188,84528,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,0642230000019,80639,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,0642230000124,93959,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,0642230000154,99087,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,9700000000212,120212,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,9700000000213,116901,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463622,F2,9700000000215,84891,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463631,F2,0642230000030,73370,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463631,F2,0642230000126,91911,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463631,F2,0642230000178,94282,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463631,F2,9700000000204,116253,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463668,F2,0241110330002,121921,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463677,F2,0410020050106,277156,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463677,F2,0410020050127,260345,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463702,F2,,2280268,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463766,F2,05430001000,1851497,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495152,F2,0422010000015,243528,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000026,82349,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000027,75188,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000043,116180,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000097,72572,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000098,107084,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0401740000100,79722,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000001,88891,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000112,113752,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000123,85568,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000172,73243,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000172,101046,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,0642230000174,119821,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000495241,F2,9700000000200,124907,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000497775,F2,1170590000001,201683,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000499050,F2,0440990000103,96380,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000499050,F2,0440990000109,119003,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000500609,F2,03700001200,1894363,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000501519,F2,0451440010222,257111,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000501519,F2,0451440010223,242217,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000501519,F2,0451440010226,302289,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000503839,F2,0410320000065,321318,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504142,F2,0642230000128,107860,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504142,F2,0642230000142,90175,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504240,F2,1005740000004,108682,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504240,F2,1005740000080,74842,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504240,F2,1005740000093,90735,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504240,F2,1005740000094,121165,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504240,F2,1005740000105,95540,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504419,F2,1005740000053,104970,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504419,F2,1005740000075,126821,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504892,F2,0281710000016,314195,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000504892,F2,9700000000172,255410,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000505588,F2,1226870000003,226271,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
